USPS	GEOID	ANSICODE	NAME	LSAD	FUNCSTAT	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                 
VA	5148520	02390106	Madison Heights CDP	57	S	49709135	843491	      19.193	       0.326	 37.450301	 -79.108210                                                                                           
VA	5148776	02584872	Makemie Park CDP	57	S	2623369	0	       1.013	       0.000	 37.910618	 -75.584486                                                                                                    
VA	5148952	01498430	Manassas city	25	A	25594567	135027	       9.882	       0.052	 38.747172	 -77.484536                                                                                                 
VA	5148968	01498431	Manassas Park city	25	A	6575876	956	       2.539	       0.000	 38.768945	 -77.448767                                                                                                
VA	5148996	02584873	Manchester CDP	57	S	15372211	127261	       5.935	       0.049	 37.489100	 -77.543894                                                                                                
VA	5149144	02390118	Mantua CDP	57	S	6132683	56270	       2.368	       0.022	 38.851738	 -77.257505                                                                                                      
VA	5149320	02584874	Mappsburg CDP	57	S	5865591	1215	       2.265	       0.000	 37.580467	 -75.754901                                                                                                    
VA	5149336	02584875	Mappsville CDP	57	S	2038467	0	       0.787	       0.000	 37.843366	 -75.568753                                                                                                      
VA	5149464	02391286	Marion town	43	A	10678416	77524	       4.123	       0.030	 36.838791	 -81.513897                                                                                                    
VA	5149656	02584876	Marshall CDP	57	S	7469898	17060	       2.884	       0.007	 38.866012	 -77.837107                                                                                                    
VA	5149784	01789072	Martinsville city	25	A	28376605	133615	      10.956	       0.052	 36.683527	 -79.863647                                                                                             
VA	5149792	02629767	Marumsco CDP	57	S	19220718	1006399	       7.421	       0.389	 38.636296	 -77.257245                                                                                                 
VA	5149998	02584877	Mason Neck CDP	57	S	35869230	16006005	      13.849	       6.180	 38.663928	 -77.194473                                                                                              
VA	5150020	02629754	Massanetta Springs CDP	57	S	12298063	186662	       4.748	       0.072	 38.393837	 -78.829014                                                                                        
VA	5150030	02390129	Massanutten CDP	57	S	25688462	57093	       9.918	       0.022	 38.411082	 -78.727898                                                                                                
VA	5150104	02629031	Mathews CDP	57	S	5137582	132619	       1.984	       0.051	 37.443256	 -76.327722                                                                                                    
VA	5150136	02390133	Matoaca CDP	57	S	6657030	372460	       2.570	       0.144	 37.232320	 -77.467494                                                                                                    
VA	5150200	02628838	Maurertown CDP	57	S	5599070	12200	       2.162	       0.005	 38.931750	 -78.464332                                                                                                  
VA	5150312	02390137	Max Meadows CDP	57	S	11879201	95538	       4.587	       0.037	 36.978941	 -80.961796                                                                                                
VA	5150568	02584878	Meadowbrook CDP	57	S	21129138	341258	       8.158	       0.132	 37.430467	 -77.474494                                                                                               
VA	5150776	02584879	Meadow View CDP	57	S	11993244	12777	       4.631	       0.005	 36.763745	 -81.883537                                                                                                
VA	5150856	02389467	Mechanicsville CDP	57	S	73349676	278289	      28.320	       0.107	 37.621307	 -77.352140                                                                                            
VA	5150984	02391295	Melfa town	43	A	716234	0	       0.277	       0.000	 37.649088	 -75.740739                                                                                                           
VA	5151192	02389475	Merrifield CDP	57	S	6985744	16021	       2.697	       0.006	 38.871977	 -77.239668                                                                                                  
VA	5151208	02389476	Merrimac CDP	57	S	4362800	11386	       1.684	       0.004	 37.194865	 -80.422011                                                                                                    
VA	5151362	02584880	Metompkin CDP	57	S	2998258	0	       1.158	       0.000	 37.767122	 -75.605423                                                                                                       
VA	5151432	02584881	Middlebrook CDP	57	S	19191072	12705	       7.410	       0.005	 38.066880	 -79.233985                                                                                                
VA	5151448	02391297	Middleburg town	43	A	2679708	9875	       1.035	       0.004	 38.971328	 -77.739668                                                                                                  
VA	5151512	02391300	Middletown town	43	A	2009910	18300	       0.776	       0.007	 39.029093	 -78.277780                                                                                                 
VA	5151544	02584882	Midland CDP	57	S	10471884	21166	       4.043	       0.008	 38.598482	 -77.718967                                                                                                    
VA	5152120	02391308	Mineral town	43	A	2300242	14136	       0.888	       0.005	 38.007584	 -77.906236                                                                                                    
VA	5152408	02584883	Modest Town CDP	57	S	1527389	0	       0.590	       0.000	 37.816850	 -75.561090                                                                                                     
VA	5152658	02389498	Montclair CDP	57	S	15551833	441288	       6.005	       0.170	 38.613800	 -77.341607                                                                                                 
VA	5152680	02391311	Monterey town	43	A	815411	0	       0.315	       0.000	 38.411559	 -79.580883                                                                                                        
VA	5152904	02389501	Montrose CDP	57	S	8294044	196158	       3.202	       0.076	 37.521263	 -77.374851                                                                                                   
VA	5152952	02391313	Montross town	43	A	2669200	1881	       1.031	       0.001	 38.092396	 -76.815825                                                                                                    
VA	5152968	02629032	Montvale CDP	57	S	6251825	5318	       2.414	       0.002	 37.385171	 -79.725502                                                                                                     
VA	5153031	02584884	Moorefield Station CDP	57	S	2942637	2166	       1.136	       0.001	 38.999868	 -77.493291                                                                                           
VA	5153480	02629811	Motley CDP	57	S	10265592	37606	       3.964	       0.015	 37.065822	 -79.349973                                                                                                     
VA	5153584	02584885	Mountain Road CDP	57	S	22220715	90512	       8.579	       0.035	 36.751561	 -78.988343                                                                                              
VA	5153864	02391317	Mount Crawford town	43	A	1247816	48811	       0.482	       0.019	 38.360875	 -78.941035                                                                                             
VA	5153944	02629812	Mount Hermon CDP	57	S	13870238	73282	       5.355	       0.028	 36.668749	 -79.422182                                                                                               
VA	5153992	02391318	Mount Jackson town	43	A	7038035	65685	       2.717	       0.025	 38.739064	 -78.645837                                                                                              
VA	5154120	02584886	Mount Sidney CDP	57	S	4296181	7643	       1.659	       0.003	 38.254994	 -78.971328                                                                                                 
VA	5154144	02389519	Mount Vernon CDP	57	S	13535758	2156787	       5.226	       0.833	 38.713363	 -77.105219                                                                                             
VA	5154904	02391321	Narrows town	43	A	3277485	184352	       1.265	       0.071	 37.331314	 -80.809262                                                                                                   
VA	5154984	02391322	Nassawadox town	43	A	1715245	0	       0.662	       0.000	 37.476294	 -75.859176                                                                                                     
VA	5155000	02584887	Nathalie CDP	57	S	7714628	59028	       2.979	       0.023	 36.947736	 -78.933256                                                                                                    
VA	5155272	02629768	Neabsco CDP	57	S	11936427	633809	       4.609	       0.245	 38.608262	 -77.282893                                                                                                   
VA	5155400	02584888	Nellysford CDP	57	S	24761232	122944	       9.560	       0.047	 37.923529	 -78.893525                                                                                                
VA	5155448	02584889	Nelsonia CDP	57	S	4518347	0	       1.745	       0.000	 37.822462	 -75.589499                                                                                                        
VA	5155528	02584890	New Baltimore CDP	57	S	31132431	631996	      12.020	       0.244	 38.741858	 -77.717035                                                                                             
VA	5155592	02391323	New Castle town	43	A	427213	4212	       0.165	       0.002	 37.500992	 -80.111017                                                                                                   
VA	5155608	02584891	New Church CDP	57	S	4901099	5782	       1.892	       0.002	 37.983247	 -75.529065                                                                                                   
VA	5155720	02584892	New Hope CDP	57	S	14983260	20502	       5.785	       0.008	 38.192515	 -78.894721                                                                                                   
VA	5155752	02389550	Newington CDP	57	S	11869368	115922	       4.583	       0.045	 38.734112	 -77.197870                                                                                                 
VA	5155758	02584893	Newington Forest CDP	57	S	8574610	116742	       3.311	       0.045	 38.738024	 -77.235220                                                                                           
VA	5155800	02628839	New Kent CDP	57	S	11626584	0	       4.489	       0.000	 37.509481	 -76.986249                                                                                                       
VA	5155848	02391326	New Market town	43	A	5220731	37359	       2.016	       0.014	 38.640221	 -78.668910                                                                                                 
VA	5156000	01498555	Newport News city	25	A	178921044	130901482	      69.082	      50.541	 37.076166	 -76.521968                                                                                         
VA	5156048	02584894	New River CDP	57	S	1018661	1015	       0.393	       0.000	 37.142945	 -80.595817                                                                                                    
VA	5156096	02391330	Newsoms town	43	A	1294486	0	       0.500	       0.000	 36.626208	 -77.124837                                                                                                        
VA	5156304	02391331	Nickelsville town	43	A	1254995	2624	       0.485	       0.001	 36.748739	 -82.417259                                                                                                
VA	5156464	02389557	Nokesville CDP	57	S	24889321	149527	       9.610	       0.058	 38.692987	 -77.576441                                                                                                
VA	5157000	01498557	Norfolk city	25	A	137985835	111697132	      53.277	      43.127	 36.923015	 -76.244641                                                                                              
VA	5157531	02389583	North Shore CDP	57	S	35409372	16701094	      13.672	       6.448	 37.077133	 -79.650380                                                                                             
VA	5157560	02389584	North Springfield CDP	57	S	4000512	25557	       1.545	       0.010	 38.802850	 -77.201073                                                                                           
VA	5157688	01498434	Norton city	25	A	19375330	89169	       7.481	       0.034	 36.931549	 -82.625996                                                                                                    
VA	5157870	02628840	Nottoway Court House CDP	57	S	3245174	1045	       1.253	       0.000	 37.127779	 -78.072515                                                                                         
VA	5158104	02584895	Oak Grove CDP	57	S	3027185	8213	       1.169	       0.003	 38.983354	 -77.415490                                                                                                    
VA	5158184	02584896	Oak Hall CDP	57	S	2837375	0	       1.096	       0.000	 37.930782	 -75.546910                                                                                                        
VA	5158312	02389601	Oak Level CDP	57	S	15712883	10845	       6.067	       0.004	 36.794846	 -79.941429                                                                                                  
VA	5158472	02389606	Oakton CDP	57	S	25280608	74597	       9.761	       0.029	 38.889444	 -77.302226                                                                                                     
VA	5158696	02391340	Occoquan town	43	A	448173	90450	       0.173	       0.035	 38.680096	 -77.258699                                                                                                    
VA	5159336	02391345	Onancock town	43	A	2722855	5204	       1.051	       0.002	 37.709993	 -75.743670                                                                                                    
VA	5159384	02391346	Onley town	43	A	2032117	20739	       0.785	       0.008	 37.691385	 -75.717345                                                                                                      
VA	5159416	02584897	Opal CDP	57	S	8123875	66329	       3.137	       0.026	 38.615929	 -77.809233                                                                                                        
VA	5159496	02391347	Orange town	43	A	8567483	42324	       3.308	       0.016	 38.250249	 -78.111271                                                                                                     
VA	5160296	02391349	Painter town	43	A	1679187	0	       0.648	       0.000	 37.585158	 -75.783729                                                                                                        
VA	5160392	02629033	Palmyra CDP	57	S	3665308	22061	       1.415	       0.009	 37.866371	 -78.257592                                                                                                     
VA	5160488	02391350	Pamplin City town	43	A	817490	2157	       0.316	       0.001	 37.266276	 -78.683736                                                                                                 
VA	5160512	02584899	Pantops CDP	57	S	5540766	198924	       2.139	       0.077	 38.032599	 -78.444822                                                                                                    
VA	5160680	02391351	Parksley town	43	A	1611780	0	       0.622	       0.000	 37.786361	 -75.653888                                                                                                       
VA	5160840	02584900	Parrott CDP	57	S	8574567	1077380	       3.311	       0.416	 37.214092	 -80.631778                                                                                                   
VA	5160888	02629843	Passapatanzy CDP	57	S	5272359	10364	       2.036	       0.004	 38.294623	 -77.332279                                                                                                
VA	5160920	02584901	Pastoria CDP	57	S	5721213	27584	       2.209	       0.011	 37.745003	 -75.635774                                                                                                    
VA	5160984	02389646	Patrick Springs CDP	57	S	40251856	0	      15.541	       0.000	 36.634348	 -80.198515                                                                                                
VA	5161208	02391354	Pearisburg town	43	A	8174418	11580	       3.156	       0.004	 37.328683	 -80.727293                                                                                                 
VA	5161336	02391355	Pembroke town	43	A	2856743	0	       1.103	       0.000	 37.322219	 -80.636164                                                                                                       
VA	5161464	02389656	Penhook CDP	57	S	28962345	3835193	      11.182	       1.481	 36.992451	 -79.637553                                                                                                  
VA	5161560	02391356	Pennington Gap town	43	A	4198668	50677	       1.621	       0.020	 36.759140	 -83.029470                                                                                             
VA	5161832	01498435	Petersburg city	25	A	59430127	614559	      22.946	       0.237	 37.204730	 -77.392368                                                                                               
VA	5161896	02391359	Phenix town	43	A	2986982	0	       1.153	       0.000	 37.081059	 -78.748500                                                                                                         
VA	5162264	02389669	Pimmit Hills CDP	57	S	3841658	0	       1.483	       0.000	 38.910532	 -77.199144                                                                                                    
VA	5162738	02584902	Piney Mountain CDP	57	S	2972432	66396	       1.148	       0.026	 38.162134	 -78.411071                                                                                              
VA	5163190	02584903	Plum Creek CDP	57	S	3979091	2117	       1.536	       0.001	 37.127113	 -80.503405                                                                                                   
VA	5163288	02391365	Pocahontas town	43	A	1524742	29897	       0.589	       0.012	 37.309770	 -81.345822                                                                                                 
VA	5163768	01498436	Poquoson city	25	A	39850781	163448417	      15.386	      63.108	 37.128360	 -76.303534                                                                                              
VA	5163928	02391368	Port Royal town	43	A	1669063	6759	       0.644	       0.003	 38.164886	 -77.199264                                                                                                  
VA	5164000	01498556	Portsmouth city	25	A	86247836	34658655	      33.300	      13.382	 36.859623	 -76.356307                                                                                             
VA	5164152	02629769	Potomac Mills CDP	57	S	10429683	42279	       4.027	       0.016	 38.655646	 -77.302511                                                                                              
VA	5164272	02391370	Pound town	43	A	6689109	5879	       2.583	       0.002	 37.126101	 -82.607261                                                                                                       
VA	5164384	02629034	Powhatan CDP	57	S	5371677	15599	       2.074	       0.006	 37.542121	 -77.927083                                                                                                    
VA	5164512	02584904	Prices Fork CDP	57	S	5222435	6692	       2.016	       0.003	 37.206332	 -80.488108                                                                                                  
VA	5164560	02629035	Prince George CDP	57	S	16234053	0	       6.268	       0.000	 37.220869	 -77.268299                                                                                                  
VA	5164880	02391374	Pulaski town	43	A	20473874	135836	       7.905	       0.052	 37.052770	 -80.761919                                                                                                  
VA	5164976	02584905	Pungoteague CDP	57	S	6736008	521	       2.601	       0.000	 37.628567	 -75.816544                                                                                                   
VA	5165008	02391376	Purcellville town	43	A	8782288	37267	       3.391	       0.014	 39.137498	 -77.711393                                                                                               
VA	5165120	02391377	Quantico town	43	A	183552	0	       0.071	       0.000	 38.522410	 -77.290167                                                                                                        
VA	5165128	02389718	Quantico Base CDP	57	S	18147189	2891192	       7.007	       1.116	 38.522804	 -77.318262                                                                                            
VA	5165280	02584906	Quinby CDP	57	S	2903161	0	       1.121	       0.000	 37.553288	 -75.736773                                                                                                          
VA	5165392	01498438	Radford city	25	A	25567010	867992	       9.871	       0.335	 37.120119	 -80.559147                                                                                                  
